State,County,Built 2020 or later,Built 2000 to 2019,Built 1980 to 1999,Built 1960 to 1979,Built 1940 to 1959,Built 1939 or earlier,Lacking complete plumbing facilities,Lacking complete kitchen facilities,"House PriceLess than $50,000","House Price$50,000 to $99,999","House Price$100,000 to $149,999","House Price$150,000 to $199,999","House Price$200,000 to $299,999","House Price$300,000 to $499,999","House Price$500,000 to $999,999","House Price$1,000,000 or more",Rent PriceLess than $500,Rent Price$500 to $999,"Rent Price$1,000 to $1,499","Rent Price$1,500 to $1,999","Rent Price$2,000 to $2,499","Rent Price$2,500 to $2,999","Rent Price$3,000 or more"
AL,Jackson,0.00375621,0.177874712,0.325578577,0.335110465,0.07185266,0.085827376,0.4,0.5,18.7,24.7,18.1,13.7,16.2,5.5,2.4,0.7,33.3,57.8,7.7,0.9,0.3,0,0
AL,Jefferson,0.003337581,0.19866044,0.203146123,0.306640233,0.192829376,0.095386247,0.5,0.9,7.3,18.4,15.5,14.1,19.4,15.5,7.5,2.2,10.6,40.8,36.2,8.8,2.2,0.5,0.9
AL,Lauderdale,0.004583976,0.232463496,0.272534156,0.283379173,0.162518727,0.044520471,0.4,0.7,8.7,19.8,19.2,17.6,17.6,12.5,3.7,0.9,21.1,67.6,8.4,2.8,0.1,0,0
AL,Lawrence,0.008104045,0.316907392,0.379713744,0.20652245,0.063002418,0.025749951,0.3,0.6,17,23.4,17.9,18.5,14.9,5.4,2.6,0.2,20.2,71.4,8.2,0.2,0,0,0
AL,Lee,0.023707119,0.457595035,0.31178531,0.149788812,0.03530957,0.021814155,0.2,0.6,14.3,8.5,14.3,16.4,21.5,17.9,6.5,0.6,11.5,47.9,30.6,7.3,1.9,0.5,0.4
AL,Limestone,0.004958373,0.412282927,0.253222942,0.253522751,0.046747077,0.02926593,0.4,0.8,8.4,11.1,18.3,16,22.5,17.8,5.3,0.5,15.7,58.5,21.1,3.2,1.3,0.3,0
AL,Macon,0.011867464,0.156270768,0.346340074,0.33428273,0.105193202,0.046045761,0.4,0.4,23.6,39.2,12.1,9.4,8.8,4.5,1.5,0.9,27.1,59.4,10.9,2.1,0.5,0,0
AL,Madison,0.009285152,0.385669743,0.252944318,0.243469673,0.080792884,0.02783823,0.2,0.4,5.4,11,14.3,18.6,25,19,5.9,0.7,6.8,50.8,32.4,7.7,1.1,0.6,0.6
AL,Marion,0.022003679,0.093108816,0.336352059,0.313499363,0.167256261,0.067779822,1,1.5,23.4,31,21.1,11.4,8,4,1.1,0,37.3,58.4,3.7,0,0,0.6,0
AL,Marshall,0.011686184,0.205893692,0.361331984,0.294082213,0.099465086,0.027540841,0.3,0.5,9.4,21.4,20,15.6,19,8.6,5.6,0.4,21.5,65.3,12,1.3,0,0,0
AL,Mobile,0.002644146,0.217920837,0.26835928,0.338305048,0.134948601,0.037822087,0.2,0.5,10.4,19.9,22.4,18,17.4,8.3,3,0.6,12.9,48.5,33.5,4.1,0.6,0.1,0.3
AL,Monroe,0.011110074,0.205769769,0.281206237,0.359163477,0.099990664,0.04275978,0.3,0,25.4,22.8,19.4,14.4,12.4,4.9,0.6,0.2,35.8,58.7,5.5,0,0,0,0
AL,Montgomery,0.006319474,0.231020292,0.264386737,0.294678587,0.144269429,0.059325481,0.4,0.6,10.1,24.8,21.5,12.4,14.9,11.9,3.6,0.8,7.3,51.5,33.4,5.3,1.7,0.3,0.5
AL,Morgan,0.007937249,0.261443646,0.3214866,0.272294332,0.10090578,0.035932393,0.4,0.7,8.6,20.8,19.4,19.4,17.2,11.6,2.8,0.2,15.2,66.7,15.3,1.1,0.7,0.5,0.5
AL,Pickens,0.011416589,0.19000466,0.224487418,0.351001864,0.186859273,0.036230196,0.1,1,21.9,26.1,17.1,12.2,14.6,4.2,3,1,40.7,51.3,8.1,0,0,0,0
AL,Pike,0.008502451,0.246446968,0.332030038,0.28250481,0.087134612,0.043381121,0.1,0.3,20.7,18.2,16.4,15.4,16.3,9.4,3.3,0.4,23.7,52.7,21.9,1.6,0.1,0,0
AL,Randolph,0.011437621,0.250483899,0.237374626,0.276350519,0.11543199,0.108921344,1.2,1.1,17.1,26.6,12.7,13.1,14.4,13,2.1,1.1,25.7,58.2,9.2,6.8,0,0,0
AL,Russell,0,0.305921292,0.262202662,0.233250891,0.133119953,0.065505201,0.2,0.3,14.1,21.2,23.1,16.6,18.5,4.7,1.5,0.3,12.4,65.5,18.7,2.2,1.2,0,0
AL,St. Clair,0.005167355,0.401885176,0.35662538,0.17257407,0.051491782,0.012256238,0.1,0.5,10.2,14.1,15.5,21.8,21.3,12.7,4.1,0.3,11.7,45.4,31.2,10.2,1.2,0,0.3
AL,Shelby,0.012208401,0.414227736,0.412984899,0.124338712,0.027771362,0.008468891,0.4,0.5,4.2,4.2,12.5,18.2,26.8,24.6,8.6,0.9,4.3,28.3,46.8,17,2.6,0,0.9
AL,Talladega,0.004134069,0.198618488,0.336900495,0.225149795,0.159815798,0.075381355,1.5,0.9,19.3,24.3,17.8,15.7,12.7,7.2,2.7,0.2,23.9,59.3,14.4,2,0,0.2,0.2
AL,Tallapoosa,0.003406262,0.219922267,0.331848552,0.249224857,0.161448098,0.034149963,0.7,1.4,20.4,24.3,16.8,10.5,11.9,6.7,7.9,1.5,28.8,57.2,14,0,0,0,0
AL,Tuscaloosa,0.003881159,0.343715433,0.298519338,0.203091343,0.115318934,0.035473792,0.2,0.6,9.4,9.3,15.1,22.6,22.5,14.9,5.3,0.8,12.7,50.2,29.1,5.3,1.6,0.6,0.6
AL,Walker,0,0.219485513,0.284625075,0.299575681,0.147285023,0.049028708,0.6,0.8,20,24.5,15.8,14.9,14.6,7.4,1.6,1.2,29.8,60.2,8.1,1.4,0.5,0,0
AL,Winston,0.000171116,0.326403149,0.294746749,0.279004107,0.082905544,0.016769336,0.8,0.8,25.9,22.5,13.3,9.2,12.5,10,6.3,0.3,36.1,59.2,4.6,0,0,0,0
AK,Anchorage Municipality,0.000325521,0.215928819,0.334001068,0.386443309,0.055647369,0.007653913,0.8,0.6,5,1.8,4.1,6.1,25.3,42.1,14.3,1.4,4.8,20.1,34.7,23.1,11.6,4,1.8
AK,Fairbanks North Star Borough,0.003116725,0.236050899,0.383169686,0.304361071,0.062920348,0.010381272,5.6,4.5,4.1,4.6,9,14.4,36,27.2,4.1,0.5,4.6,22.9,32.7,20.3,16,2.8,0.7
AK,Juneau City and Borough,0.002045134,0.186389281,0.323201693,0.362411848,0.04922426,0.076727786,0.5,0.3,5.7,3.9,3.7,4.5,15.7,44.7,21.2,0.5,8.2,15.4,39.7,22.3,9.8,3.2,1.3
AK,Kenai Peninsula Borough,0.00106929,0.330991079,0.37244898,0.25186362,0.041121838,0.002505194,3.2,2.6,4.8,5.5,8.3,13.4,32.6,25.2,9.4,0.7,9.4,33,35.6,15.4,3.3,1.4,1.9
AK,Matanuska-Susitna Borough,0.008720987,0.443479791,0.357208502,0.151502708,0.032107311,0.0069807,2.8,2.5,2.9,3.8,5.5,12.9,36.8,30.8,6.8,0.4,6.9,29.3,36,19.1,7.3,1.2,0.2
AZ,Apache,0.004087713,0.248276579,0.402431843,0.2775834,0.048359719,0.019260748,12.8,8.2,45.4,23.9,8.7,10.2,6.7,3.9,1.2,0,39.4,48.5,10.1,2,0.1,0,0
AZ,Cochise,0.002721479,0.25429774,0.344478439,0.238999983,0.074899846,0.084602512,0.4,0.8,9.5,16.5,20.5,18.1,21.5,10.5,3,0.4,13.3,50.8,29.4,5.1,0.9,0.3,0.2
AZ,Coconino,0.006837485,0.312154736,0.408022268,0.203511527,0.052687174,0.01678681,3.3,2.6,11.8,8.3,4.9,6.2,15.2,31.1,19.1,3.3,5.4,23.5,35.2,26.4,7,1.8,0.7
AZ,Gila,0.001534401,0.279537225,0.362333517,0.255938133,0.050573866,0.050082858,1.7,1.7,16.9,13.3,8.9,13.1,19.6,18.8,8.1,1.3,17.6,44.6,26.4,10.5,0.4,0,0.6
AZ,Graham,0.013139001,0.261056864,0.316843768,0.253518093,0.098291212,0.057151063,1.3,1.5,14.9,15.5,19.4,20.7,15.9,12.4,0.8,0.4,18.9,49.3,20.1,11.7,0,0,0
AZ,La Paz,0,0.303424609,0.271180382,0.373704154,0.048902552,0.002788303,0.8,1.2,28.3,19.5,17.5,9.1,13.1,5.7,5.8,1.2,23.4,49.6,24.4,0.6,2,0,0
AZ,Maricopa,0.010976674,0.347722112,0.345538891,0.222096876,0.065445786,0.008219661,0.3,0.6,4.7,2.6,4.6,10.1,27,33,14.9,3.1,2.9,22.7,41.6,22.9,6.4,1.7,1.8
AZ,Mohave,0.006638983,0.347621519,0.409030022,0.20832845,0.020569965,0.007811061,0.6,0.8,9.3,13.3,14.5,14.6,23.2,18.8,5.2,1,7.5,56.3,30.9,3.9,0.7,0.5,0.3
AZ,Navajo,0.003873512,0.249559828,0.3934432,0.264948236,0.067997746,0.020177477,7,5.8,18,16.7,16.5,14.7,16.4,14.9,2.2,0.6,23.8,54.6,17.6,3.5,0.2,0.1,0.3
AZ,Pima,0.010014659,0.269340612,0.31893792,0.270958122,0.112665437,0.018083251,0.4,0.8,8,7,12,17.7,26.3,20.3,7.4,1.3,5.5,46.8,33.6,10.3,1.9,0.8,1.1
AZ,Pinal,0.01372072,0.626867837,0.215380152,0.101161714,0.036988472,0.005881106,0.5,0.6,9.3,7.9,9.8,16.5,30,20.7,4.9,0.8,6.4,31.4,34.5,22.3,4.6,0.6,0.3
AZ,Santa Cruz,0,0.316375534,0.339331891,0.213626049,0.052087181,0.078579345,1.2,1.4,3.3,12.3,25.5,22.3,18.2,10.3,6.4,1.6,25.5,58.2,15.2,0.5,0,0.5,0
AZ,Yavapai,0.012027186,0.346407181,0.403177114,0.172578015,0.036525515,0.029284988,0.3,0.6,5.5,5.2,6.5,9.3,24.6,31.6,15.3,2,8.9,38.6,32.7,14.3,3.1,0.8,1.5
AZ,Yuma,0.007441603,0.382368306,0.361386825,0.177542992,0.048381078,0.022879197,0.6,0.7,13,14.8,22.6,20.8,17.7,8.9,1.9,0.2,13.8,45.4,33.2,5.6,0.9,0.6,0.4
AR,Baxter,0.001929571,0.19852651,0.386835066,0.324036311,0.067710389,0.020962154,1,1.2,10.2,19.9,25.7,16.4,17,8,1.9,0.9,17.3,64.6,13.5,3.9,0,0,0.7
AR,Benton,0.016754626,0.467886261,0.319175209,0.142274772,0.032908759,0.021000372,0.1,0.5,3.6,7.7,15.8,19.7,24.6,19.5,7.5,1.6,4.3,45.6,39.2,7.2,2.6,0.7,0.6
AR,Boone,0.004083276,0.197665056,0.295721187,0.312169312,0.084713596,0.105647573,1.1,2.9,12.5,20.2,25.1,17.4,13.6,7.6,3.4,0.1,25.4,62.7,10.7,0.8,0.3,0,0
AR,Carroll,0,0.275785237,0.38244807,0.174369295,0.079062747,0.088334651,0.8,1.4,7.5,19.7,20.4,22.1,15.9,9.3,3.9,1.1,26,62.7,8.4,2.1,0,0,0.7
AR,Clark,0.021319261,0.19176781,0.372770449,0.257203166,0.072295515,0.084643799,0.1,0.6,14.6,24.5,20.7,13.6,14.4,9.7,1.7,0.7,22.9,69.9,7.1,0,0,0,0.1
AR,Cleburne,0.001276976,0.295619972,0.354743966,0.311454476,0.02726344,0.00964117,0.3,0.5,12.1,21.9,18.4,17.6,16.9,7.4,4.8,1,14.8,72,13,0,0,0,0.3
AR,Columbia,0,0.297866546,0.320835225,0.222060826,0.102678166,0.056559237,0,0.3,27.3,20.4,14.4,17.4,10,8.6,1.6,0.3,35.1,51.8,12.9,0.2,0,0,0
AR,Conway,0.00666734,0.294878271,0.232548742,0.218911001,0.087483584,0.159511062,0.2,0.2,16,25.2,21.3,15.2,15.3,4.5,1.9,0.5,32.7,56.9,10.4,0,0,0,0
AR,Craighead,0.017019944,0.344283178,0.340858306,0.219129164,0.054192336,0.024517072,0.7,0.8,6.9,16.7,22.8,20.5,17.6,10.9,4.1,0.4,11.9,61.7,22.1,2.9,0.9,0,0.5
AR,Crawford,0.000746151,0.283459001,0.358427584,0.266886585,0.067271442,0.023209237,0.8,1,14.6,21,22.2,16.3,14.8,8.9,1.5,0.7,16,69.9,13,1,0.1,0,0
AR,Crittenden,0,0.266104869,0.296395131,0.285861423,0.123220974,0.028417603,0.3,0.5,12.5,24.7,22.6,19.6,14.6,5.1,0.8,0.1,13.3,69.8,14.7,2,0.2,0,0
AR,Faulkner,0.031653256,0.42044937,0.349912707,0.158873539,0.028294368,0.01081676,1,1.3,6.6,13,20.4,21.1,23.5,11.1,3.3,1,6.9,63.7,24,4.4,0.8,0.1,0.1
AR,Garland,0.004001601,0.248023019,0.320890261,0.243754645,0.132186208,0.051144267,0.3,1.7,10.5,17.8,23.7,16,16.7,10.1,4.1,1.2,12.8,61.2,20.4,3,1,0,1.7
AR,Greene,0.012798018,0.296418619,0.283414181,0.317370214,0.073330581,0.016668387,0.4,0.4,11.7,24,20.2,21.2,14.9,6.8,1.1,0,13.8,68,17.3,0.7,0,0,0.2
AR,Hempstead,0,0.154995689,0.236229524,0.378580324,0.137273685,0.092920778,0.9,3.4,19.5,33,18.5,15,11.3,1.8,0.8,0.1,18.2,69.9,11.8,0,0,0,0
AR,Hot Spring,0.030674417,0.286644723,0.184046502,0.313677428,0.144197773,0.040759157,1.2,2.3,15.6,33.3,17.9,13.1,13.2,5.6,0.9,0.3,27.7,65.5,6.8,0,0,0,0
AR,Independence,0.014766545,0.272374006,0.329287978,0.234530998,0.0677348,0.081305673,0.9,1,18.9,31.1,18.4,13.5,11.5,3.7,3,0,17.4,67.8,13.9,1,0,0,0
AR,Jefferson,0.004634465,0.132506527,0.283126632,0.366481723,0.141449086,0.071801567,0.7,1,19.6,33.9,19.5,13,11.1,1.9,0.8,0.2,16.8,66.8,15,1,0.5,0,0
AR,Johnson,0.00689465,0.256297113,0.327541828,0.216583931,0.12244898,0.070233499,0.8,1.1,11.3,34.8,21.5,18.3,8.8,3.9,1.2,0.3,25,67.4,7.5,0,0,0,0.1
AR,Logan,0.013850416,0.240792039,0.358879655,0.242843952,0.092541295,0.051092644,0.6,2.1,13,33.3,24,14.3,9.8,4,0.6,1,21.5,76.8,1.7,0,0,0,0
AR,Lonoke,0.014048615,0.422046524,0.35699817,0.116407475,0.085761892,0.004737324,0.3,0.5,7.2,17,23.8,22,20.8,7.7,1.2,0.3,10.7,55.1,26.5,6.8,0.8,0,0.2
AR,Miller,0.022323232,0.264292929,0.254545455,0.287474747,0.116868687,0.054494949,0.2,0.7,16.1,27.7,16.4,17.5,12.3,6.2,3.7,0,15.6,65,18.1,1.4,0,0,0
AR,Mississippi,0,0.174026789,0.256802009,0.359355379,0.152365006,0.057450816,0.2,0.6,18.4,32.8,22.1,14.6,8.9,2.2,0.9,0.1,22.8,67.6,9.4,0.3,0,0,0
AR,Ouachita,0,0.116127943,0.2661828,0.326356655,0.23470335,0.056629251,1.1,2.5,25.7,35.1,13,14.8,6.2,2.6,0.4,2.3,30.1,65.8,4.1,0,0,0,0
AR,Poinsett,0.010387612,0.194863903,0.244782149,0.387707993,0.126286429,0.035971915,0.3,0.7,26.3,34,18.5,9.9,8.9,1,0.6,0.9,32.9,55.8,11.1,0.3,0,0,0
AR,Polk,0.002503852,0.198863636,0.347361325,0.215331279,0.163328197,0.07261171,1.1,1.9,18.5,28.3,17.5,13.7,15.2,4.3,2.1,0.3,20.5,67.2,12.2,0,0,0,0
AR,Pope,0.003916208,0.256918018,0.415820002,0.257398308,0.042856615,0.023090849,0.5,0.9,13.1,22.8,21.7,16.3,17,7.7,1.3,0.2,15.8,69,13.7,1.4,0,0.1,0
AR,Pulaski,0.007136866,0.259703794,0.241231292,0.302290569,0.131458994,0.058178484,0.8,1.2,7.7,16.1,19,18.5,19.2,13,5.4,1.1,8.4,53,31.1,5.5,1,0.4,0.5
AR,St. Francis,0,0.130548303,0.332532637,0.330339426,0.145900783,0.060678851,1.1,0.9,31,40.6,10.6,8.7,5.3,2.5,1,0.4,22.1,65.7,10.7,1.3,0.1,0,0
AR,Saline,0.014796453,0.462179426,0.304051864,0.142816284,0.054666794,0.021489179,0.4,0.8,8.9,11.6,21.7,20.5,22.1,11.9,2.9,0.4,5.2,58.9,28.5,5.2,0.5,1.2,0.7
AR,Sebastian,0.015384346,0.258295996,0.255425651,0.25808597,0.170978017,0.04183002,0.3,1.4,8.2,25.1,22.3,17,15.4,8.4,2.8,0.9,15.5,63,17.9,2.4,0.3,0.2,0.7
AR,Union,0.002576904,0.190529876,0.24094057,0.333387019,0.184463413,0.048102217,0.7,0.5,27.7,26.6,11.9,12.7,12.1,7.1,1.6,0.3,15,68.4,12.9,3.7,0,0,0
AR,Washington,0.011512312,0.409322354,0.305100527,0.208395162,0.042557731,0.023111913,0.5,0.9,4.2,7.8,17.5,20,24.4,19.1,5.8,1.2,5,60.4,25.9,6.2,1.4,0.6,0.4
AR,White,0.006152008,0.318650142,0.371927729,0.223980887,0.058921905,0.020367329,0.1,0.4,12.3,21.9,24,17.5,14.9,5.8,2.7,1.1,14.1,71,12.3,1.9,0.5,0,0.2
AR,Yell,0.010074552,0.295486601,0.272113641,0.183961314,0.08291356,0.155450332,0.3,1.2,14.3,26.6,27.5,11.3,16.3,3.6,0.1,0.3,33.7,55.7,9.7,0.9,0,0,0
CA,Alameda,0.005659937,0.136156361,0.196892995,0.275176863,0.195173239,0.190940605,0.4,0.8,1.3,0.8,0.8,0.8,1.6,8.3,50.3,36.2,5.2,6.9,15.5,20.6,21.3,14.3,16.2
CA,Amador,0.001801611,0.17740568,0.355182281,0.269393811,0.096492158,0.09972446,0.2,1,1.6,4.4,4.1,3.9,23.1,42,18.4,2.5,12.7,21.8,45.7,15.7,4,0.1,0
CA,Butte,0.019998007,0.188320101,0.320887176,0.250694837,0.144526016,0.075573863,0.5,0.7,5.9,4.2,5.5,9.1,19.5,36,17.1,2.7,4.3,31.1,37.4,19.2,4.3,2.7,1
CA,Calaveras,0,0.259692598,0.401584245,0.210929835,0.089676974,0.038116348,0.5,0.1,3.6,3.4,3.3,4.5,20,43.4,19.7,2.1,9,16.7,28.1,29.2,10.1,5.4,1.5
CA,Colusa,0,0.268557989,0.154784654,0.262531236,0.17462884,0.139497281,0.7,0.6,4.7,3,3.2,12.4,26.6,31.4,16.4,2.3,12.4,40.3,40.1,3.9,0.3,2,1
CA,Contra Costa,0.004097793,0.182693097,0.280610893,0.30811091,0.180460069,0.044027237,0.4,0.8,1.3,1.2,0.8,0.9,2.8,20.2,47,25.7,3.9,6,13.6,23.5,24,14.8,14.1
CA,Del Norte,0.012218964,0.188269795,0.356793744,0.259237537,0.160703812,0.022776149,0.4,0.8,11.7,5.5,7.8,13.7,23.5,27.9,8.4,1.5,12.3,37.8,35.3,11.4,2.2,0.2,0.7
CA,El Dorado,0.00633906,0.220030156,0.323674319,0.331468071,0.08922466,0.029263735,0.2,0.4,2.8,1.7,1.3,1.6,8.3,33,44.5,6.8,4.6,21.3,29.1,22.9,12.8,4.4,4.9
CA,Fresno,0.008588602,0.23845294,0.262939965,0.287494294,0.153040979,0.049483221,0.3,0.9,3.9,3.1,5.6,11.2,29.8,33.2,11.2,2,7.5,33.5,37.7,14.5,4.9,1.1,0.8
CA,Glenn,0.022833135,0.176180473,0.309069321,0.240569915,0.140378117,0.110969038,1.4,0.5,5.3,4.5,5.5,15.8,31,24.2,10.1,3.4,5.9,48.6,34.5,9.6,0.7,0,0.7
CA,Humboldt,0.00352327,0.156337081,0.24445085,0.257759201,0.18367445,0.154255149,0.4,0.9,4.9,3.1,2.1,3.9,22.9,43.6,16.7,2.8,5.7,38.1,31.3,14.7,7.2,2.3,0.7
CA,Imperial,0.005919336,0.346683946,0.275704454,0.239960771,0.117861333,0.01387016,0.5,0.7,8,4.2,11.4,18.6,33.5,18.5,4.4,1.2,14.9,46.3,29.1,8.1,1.3,0.2,0.1
CA,Kern,0.003050697,0.255896533,0.291590015,0.268816744,0.141427937,0.039218074,0.4,1,4.7,5.6,9.7,15.7,32.4,24,6.7,1.2,5.6,39.1,34.7,14.4,4.5,1,0.7
CA,Kings,0.003806591,0.277346507,0.334637839,0.21979855,0.113085691,0.051324822,0,0.4,3.3,4.5,7.1,16.6,37.5,24.1,6.2,0.8,6.7,34.6,38.7,15.6,3.5,0.6,0.3
CA,Lake,0.009424053,0.177189706,0.311227169,0.301890646,0.138063838,0.062204587,0.6,1,8.8,8,5.4,11,24.9,27.7,11.1,3,11.4,32.4,27,19.4,9,0.9,0
CA,Lassen,0.009077527,0.163231927,0.2671737,0.206166176,0.167320903,0.187029768,0.6,0.8,7,7.6,14.6,17.5,25.4,21.3,5.4,1.2,9.7,44.2,32.3,10.7,2,0,1.1
CA,Los Angeles,0.004105849,0.108534305,0.179104144,0.279560444,0.285167592,0.143527666,0.5,1.6,1.9,1.3,0.8,0.8,3.5,21.7,50,19.9,4.1,10.1,27.6,26.6,15.6,7.7,8.3
CA,Madera,0.005440871,0.254440711,0.34381501,0.262902064,0.101416227,0.031985118,0.3,0.5,3.7,2.1,5.3,9.7,34.6,33.5,8.3,2.8,8.6,29.5,41.4,17.4,2.4,0.2,0.5
CA,Marin,0.001306453,0.077170188,0.189050853,0.370450905,0.216253702,0.145767899,0.3,0.9,1,0.4,0.7,0.6,1.2,5.1,32.7,58.3,5.1,4.6,8.5,20.2,19.1,13.4,29.2
CA,Mariposa,0,0.151772526,0.416820532,0.245384047,0.119553176,0.066469719,1.6,2.9,4.3,4.8,5.1,6.8,28.4,34.4,13.7,2.6,16,29.3,30.8,14.1,5.3,0.9,3.7
CA,Mendocino,0.001973526,0.14,0.278555957,0.299687124,0.184500602,0.095282792,0.9,1.1,4.9,5.9,2,2.8,10.5,37.4,29.7,6.9,14.8,21.4,33.8,20.6,7.1,1.4,0.9
CA,Merced,0.002933011,0.269400412,0.287950027,0.246596812,0.155516747,0.037602991,0.4,0.4,4.8,2.4,3.4,10.2,33.4,34.3,9.3,2.3,5.6,32.4,39.5,16.9,4.7,0.7,0.3
CA,Monterey,0.003075538,0.135025803,0.267966612,0.328943996,0.191050462,0.073937589,0.3,0.5,2.8,1.9,1.2,0.9,4.5,26.9,45.7,16.1,3,10.1,23.1,31.7,16.5,7.6,8
